Dates;PX_LAST
28/05/2021;139,6
27/05/2021;136,8
26/05/2021;143,9
25/05/2021;151,2
24/05/2021;152,2
21/05/2021;154,7
20/05/2021;141,8
19/05/2021;142,7
18/05/2021;143,6
17/05/2021;144,5
14/05/2021;146,9
13/05/2021;147,7
12/05/2021;146,1
11/05/2021;134,7
10/05/2021;135,7
07/05/2021;126,3
06/05/2021;89,8
05/05/2021;88,8
04/05/2021;73,8
03/05/2021;78,2
30/04/2021;85,7
29/04/2021;76,7
28/04/2021;74,1
27/04/2021;74,5
26/04/2021;76,5
23/04/2021;79,6
22/04/2021;80,3
21/04/2021;80,9
20/04/2021;65,3
19/04/2021;65,9
16/04/2021;55,1
15/04/2021;55,6
14/04/2021;47,2
13/04/2021;45,9
12/04/2021;51,7
09/04/2021;54
08/04/2021;54,4
07/04/2021;54,8
06/04/2021;54,4
05/04/2021;54,2
01/04/2021;42,6
31/03/2021;53,5
30/03/2021;43,8
29/03/2021;44
26/03/2021;47,8
25/03/2021;40,4
24/03/2021;41,2
23/03/2021;41,8
22/03/2021;40,2
19/03/2021;45,5
18/03/2021;46,5
17/03/2021;47,3
16/03/2021;43,5
15/03/2021;44,2
12/03/2021;37,4
11/03/2021;42,8
10/03/2021;42,9
09/03/2021;43,4
08/03/2021;44,4
05/03/2021;47,8
04/03/2021;48,6
03/03/2021;49,3
02/03/2021;21,7
01/03/2021;13,1
26/02/2021;5,6
25/02/2021;-1,2
24/02/2021;5,4
23/02/2021;10,6
22/02/2021;13,5
19/02/2021;18,7
18/02/2021;19,7
17/02/2021;20,6
16/02/2021;21,3
15/02/2021;21,9
12/02/2021;23,5
11/02/2021;19,8
10/02/2021;20,2
09/02/2021;60,2
08/02/2021;61,6
05/02/2021;61,1
04/02/2021;61,3
03/02/2021;61,5
02/02/2021;61,7
01/02/2021;26,4
29/01/2021;27,2
28/01/2021;18,4
27/01/2021;17,1
26/01/2021;24,8
25/01/2021;25,3
22/01/2021;26,5
21/01/2021;27
20/01/2021;27,3
19/01/2021;27,5
18/01/2021;27,7
15/01/2021;26,7
14/01/2021;38
13/01/2021;38,2
12/01/2021;29
11/01/2021;29,4
08/01/2021;30,6
07/01/2021;36,2
06/01/2021;36,5
05/01/2021;36,7
04/01/2021;36,1
31/12/2020;37,1
30/12/2020;37,3
29/12/2020;31
28/12/2020;23,4
24/12/2020;27,6
23/12/2020;28,2
22/12/2020;16,7
21/12/2020;16,5
18/12/2020;17,8
17/12/2020;17,2
16/12/2020;17,6
15/12/2020;17,8
14/12/2020;18,1
11/12/2020;25,1
10/12/2020;23,9
09/12/2020;12,2
08/12/2020;11
07/12/2020;14,8
04/12/2020;19,8
03/12/2020;20,9
02/12/2020;45,4
01/12/2020;59,1
30/11/2020;64,9
27/11/2020;61,7
26/11/2020;42,3
25/11/2020;30,1
24/11/2020;28,7
23/11/2020;25,9
20/11/2020;28,2
19/11/2020;29,2
18/11/2020;30
17/11/2020;31,2
16/11/2020;32,2
13/11/2020;34,1
12/11/2020;29,7
11/11/2020;26,6
10/11/2020;37,2
09/11/2020;38
06/11/2020;49,3
05/11/2020;51,3
04/11/2020;53
03/11/2020;53,4
02/11/2020;54,3
30/10/2020;59,3
29/10/2020;57,3
28/10/2020;58,5
27/10/2020;59,6
26/10/2020;55,8
23/10/2020;54,7
22/10/2020;56,5
21/10/2020;56,9
20/10/2020;57,2
19/10/2020;57,6
16/10/2020;58,7
15/10/2020;59,1
14/10/2020;57,7
13/10/2020;56,9
12/10/2020;57,2
09/10/2020;52,4
08/10/2020;51,2
07/10/2020;49,4
06/10/2020;44
05/10/2020;40,7
02/10/2020;52,7
01/10/2020;72,7
30/09/2020;52,6
29/09/2020;51,3
28/09/2020;51
25/09/2020;59,7
24/09/2020;63,5
23/09/2020;66,4
22/09/2020;68,1
21/09/2020;70,2
18/09/2020;75,3
17/09/2020;76,6
16/09/2020;77,9
15/09/2020;79
14/09/2020;80,4
11/09/2020;71,7
10/09/2020;81,1
09/09/2020;51,5
08/09/2020;51
07/09/2020;50,7
04/09/2020;50,2
03/09/2020;50,2
02/09/2020;17,9
01/09/2020;25,5
31/08/2020;69,7
28/08/2020;89,7
27/08/2020;88,6
26/08/2020;92,4
25/08/2020;96
24/08/2020;102,1
21/08/2020;106,3
20/08/2020;105,4
19/08/2020;108
18/08/2020;110,3
17/08/2020;111,2
14/08/2020;115,1
13/08/2020;117,3
12/08/2020;115,1
11/08/2020;86,5
10/08/2020;88,5
07/08/2020;100,8
06/08/2020;103,2
05/08/2020;107,7
04/08/2020;109,7
03/08/2020;102,5
31/07/2020;99,5
30/07/2020;98,9
29/07/2020;130,2
28/07/2020;130,3
27/07/2020;113,3
24/07/2020;121,6
23/07/2020;124,6
22/07/2020;126,4
21/07/2020;128,4
20/07/2020;130
17/07/2020;133,7
16/07/2020;134,8
15/07/2020;135,8
14/07/2020;136,8
13/07/2020;161,2
10/07/2020;163,8
09/07/2020;195,6
08/07/2020;196,4
07/07/2020;139,5
06/07/2020;140,2
03/07/2020;146
02/07/2020;147,9
01/07/2020;156,6
30/06/2020;158
29/06/2020;112,6
26/06/2020;116,7
25/06/2020;118,5
24/06/2020;120
23/06/2020;121,3
22/06/2020;122,3
19/06/2020;122,9
18/06/2020;123,1
17/06/2020;121,3
16/06/2020;126,6
15/06/2020;154,8
12/06/2020;156,5
11/06/2020;157,1
10/06/2020;157,7
09/06/2020;158,3
08/06/2020;158,9
05/06/2020;160,9
04/06/2020;161,5
03/06/2020;162,2
02/06/2020;66,8
01/06/2020;71,3
29/05/2020;77,5
28/05/2020;76,3
27/05/2020;49,2
26/05/2020;50,6
22/05/2020;59,4
21/05/2020;60,3
20/05/2020;70
19/05/2020;70,9
18/05/2020;72,9
15/05/2020;76,6
14/05/2020;68,5
13/05/2020;69,4
12/05/2020;42,1
11/05/2020;46,2
08/05/2020;45,8
07/05/2020;46
06/05/2020;46,2
05/05/2020;46,5
04/05/2020;78,2
01/05/2020;77,4
30/04/2020;77,3
29/04/2020;70
28/04/2020;64,2
27/04/2020;44,8
24/04/2020;41,2
23/04/2020;37,1
22/04/2020;36,4
21/04/2020;37,6
20/04/2020;36,4
17/04/2020;34,6
16/04/2020;34,1
15/04/2020;33,8
14/04/2020;33,5
13/04/2020;34,5
09/04/2020;30,1
08/04/2020;29,5
07/04/2020;37,1
06/04/2020;9,3
03/04/2020;5,6
02/04/2020;4,8
01/04/2020;5,1
31/03/2020;-20,5
30/03/2020;-20,7
27/03/2020;-18,1
26/03/2020;-21,7
25/03/2020;-18,4
24/03/2020;-19,4
23/03/2020;-6,7
20/03/2020;-6,8
19/03/2020;-6,9
18/03/2020;-7
17/03/2020;-6,4
16/03/2020;-6,2
13/03/2020;-6
12/03/2020;-5,9
11/03/2020;-5,9
10/03/2020;-5,8
09/03/2020;-5,8
06/03/2020;-2,7
05/03/2020;-2,2
04/03/2020;-1,7
03/03/2020;-5,4
02/03/2020;-21,3
28/02/2020;-19,7
27/02/2020;-21,6
26/02/2020;-25,5
25/02/2020;-25,1
24/02/2020;-24,8
21/02/2020;-24,8
20/02/2020;-26,4
19/02/2020;-34,2
18/02/2020;-34,4
17/02/2020;-34,5
14/02/2020;-34,7
13/02/2020;-34,6
12/02/2020;-24,8
11/02/2020;-28
10/02/2020;-27,4
07/02/2020;-24,9
06/02/2020;-24,3
05/02/2020;-23,9
04/02/2020;-23,5
03/02/2020;-15,7
31/01/2020;-15,7
30/01/2020;-15,9
29/01/2020;-0,9
28/01/2020;-1,8
27/01/2020;-2,5
24/01/2020;0,9
23/01/2020;-1,4
22/01/2020;4,2
21/01/2020;4
20/01/2020;4,9
17/01/2020;4,9
16/01/2020;4,8
15/01/2020;2,7
14/01/2020;13,7
13/01/2020;15,3
10/01/2020;15,5
09/01/2020;15,5
08/01/2020;27,7
07/01/2020;27,2
06/01/2020;25,9
03/01/2020;24,2
02/01/2020;19,1
31/12/2019;18,6
30/12/2019;18,4
27/12/2019;19,4
26/12/2019;14,8
24/12/2019;14,4
23/12/2019;14,5
20/12/2019;16,2
19/12/2019;12,2
18/12/2019;13,7
17/12/2019;14,2
16/12/2019;14,6
13/12/2019;15,5
12/12/2019;14,4
11/12/2019;6,3
10/12/2019;2,8
09/12/2019;4,7
06/12/2019;14,3
05/12/2019;16
04/12/2019;17,4
03/12/2019;24
02/12/2019;14
29/11/2019;11,4
28/11/2019;10,6
27/11/2019;10,2
26/11/2019;10,3
25/11/2019;12,4
22/11/2019;20,5
21/11/2019;21,8
20/11/2019;22,5
19/11/2019;23
18/11/2019;23,7
15/11/2019;25,2
14/11/2019;25,6
13/11/2019;21,8
12/11/2019;21,1
11/11/2019;15,5
08/11/2019;17,2
07/11/2019;18
06/11/2019;18,6
